file,spectral_entropy_mean_bits_overall,spectral_entropy_h1_top,spectral_entropy_h2,spectral_entropy_h3,spectral_entropy_h4_bottom,spectral_entropy_v1_left,spectral_entropy_v2_right,height,width
./spectrograms/20_song\image1.png,6.991804982150122,4.985422951697374,4.992563381819573,4.997554422807302,4.995026888258269,6.991899166228789,6.991710798071456,128,472
./spectrograms/20_song\image10.png,6.982884485984331,4.971572867050713,4.989854506571416,4.9941934601767874,4.988630448543786,6.979521078851558,6.986247893117104,128,472
./spectrograms/20_song\image11.png,6.884572826393766,4.834691319099806,4.972511693758154,4.957365618376429,4.927702790406645,6.888947662996404,6.880197989791127,128,472
./spectrograms/20_song\image12.png,6.991495238339988,4.9899631929626915,4.995734453384081,4.998275572005749,4.992726422069299,6.990912123088423,6.9920783535915545,128,472
./spectrograms/20_song\image13.png,6.990816562847693,4.993591478935177,4.9960457666373586,4.99764681227433,4.990281491059523,6.991226646036189,6.990406479659196,128,472
./spectrograms/20_song\image14.png,6.992159408725323,4.986911321766014,4.998066137581858,4.99792271717102,4.994057537323421,6.992758437861261,6.991560379589386,128,472
./spectrograms/20_song\image15.png,6.9877928361193655,4.98142806263422,4.996335715475265,4.9974943662942035,4.992390263445114,6.988254598761861,6.987331073476869,128,472
./spectrograms/20_song\image16.png,6.979833658657369,4.986293807942345,4.993633265835116,4.991125302347372,4.979537685945032,6.983166408061343,6.976500909253395,128,472
./spectrograms/20_song\image17.png,6.98552753887673,4.984175793967662,4.9892512430849285,4.990840703523027,4.990004573745289,6.9839912797674435,6.987063797986017,128,472
./spectrograms/20_song\image18.png,6.989594194259064,4.9872403975212505,4.994508053742924,4.997735338922079,4.992920019189602,6.989321361903801,6.989867026614328,128,472
./spectrograms/20_song\image19.png,6.993889789439495,4.9933291396411414,4.9949419735688805,4.99771838859773,4.994541726469879,6.993999428368628,6.9937801505103625,128,472
./spectrograms/20_song\image2.png,6.99486750814078,4.990799781930316,4.996334519950054,4.998575420153525,4.997213669854471,6.994748018876644,6.994986997404916,128,472
./spectrograms/20_song\image20.png,6.990619888877777,4.9876409678882885,4.993341687801091,4.996969281194861,4.995053376346341,6.988976235862306,6.992263541893248,128,472
./spectrograms/20_song\image21.png,6.967425567139103,4.977568992595354,4.99337801527483,4.9891230402634035,4.971668653717529,6.971095747894223,6.9637553863839825,128,472
./spectrograms/20_song\image22.png,6.984963651958056,4.979599158822695,4.9908504181079545,4.991680003212818,4.988566699088898,6.98489923580984,6.985028068106271,128,472
